Key,English,Bengali,Hindi,Arabic,Tamil,Yoruba,,
T2-14,"This AttributeError occurs because the append method is defined only for list objects, not for integers. The variable in question is an integer at the point where append is called. The variable must be confirmed to be a list before any list methods are applied to it.","এই AttributeError-টি ঘটে কারণ append মেথডটি শুধুমাত্র লিস্ট অবজেক্টের জন্য সংজ্ঞায়িত, ইন্টিজারের জন্য নয়। যেখানে append কল করা হচ্ছে, সেখানে আলোচ্য ভেরিয়েবলটি একটি ইন্টিজার। কোনো লিস্ট মেথড প্রয়োগ করার আগে ভেরিয়েবলটি যে একটি লিস্ট, তা অবশ্যই নিশ্চিত করতে হবে।","यह एट्रीब्यूट एरर इसलिए होता है क्योंकि append मेथड केवल लिस्ट ऑब्जेक्ट के लिए परिभाषित है, इंटीजर के लिए नहीं। append मेथड कॉल होने के समय संबंधित वेरिएबल एक इंटीजर होता है। किसी भी लिस्ट मेथड को लागू करने से पहले वेरिएबल के लिस्ट होने की पुष्टि करना आवश्यक है।",يحدث هذا الخطأ (AttributeError) لأن دالة الإلحاق (append) مُعرّفة فقط لكائنات القوائم، وليست للأعداد الصحيحة. المتغير المعني هو عدد صحيح عند استدعاء دالة الإلحاق. يجب التأكد من أن المتغير قائمة قبل تطبيق أي دوال خاصة بالقوائم عليه.,"append மெத்தட், முழு எண்களுக்கு அல்லாமல், பட்டியல் ஆப்ஜெக்டுகளுக்கு மட்டுமே வரையறுக்கப்பட்டுள்ளதால் இந்த AttributeError ஏற்படுகிறது. append அழைக்கப்படும் நேரத்தில், கேள்விக்குரிய மாறி ஒரு முழு எண்ணாக உள்ளது. எந்தவொரு பட்டியல் மெத்தட்களையும் ஒரு மாறியின் மீது பயன்படுத்துவதற்கு முன்பு, அது ஒரு பட்டியல் என்பதை உறுதிப்படுத்த வேண்டும்.","Àṣìṣe Àmì yìí máa ń ṣẹlẹ̀ nítorí pé a túmọ̀ ọ̀nà àfikún fún àwọn ohun tí a kọ sílẹ̀ nìkan, kì í ṣe fún àwọn odidi. Odidi tí a ń sọ̀rọ̀ nípa rẹ̀ jẹ́ odidi kan níbi tí a ti ń pe àfikún. A gbọ́dọ̀ jẹ́rìí sí odidi náà gẹ́gẹ́ bí àkójọ kí a tó lo àwọn ọ̀nà àkójọ sí i.",,
T2-15,"This is a logical error, which means the program runs without raising an exception but produces an incorrect result. Logical errors occur when the program's instructions do not correctly represent the intended computation. The conditions, operators, and variable values in the relevant section of code must be reviewed carefully.","এটি একটি লজিক্যাল এরর, যার অর্থ হলো প্রোগ্রামটি কোনো এক্সেপশন তৈরি না করেই চলে কিন্তু একটি ভুল ফলাফল দেয়। যখন প্রোগ্রামের নির্দেশাবলী উদ্দিষ্ট গণনাকে সঠিকভাবে উপস্থাপন করে না, তখন লজিক্যাল এরর ঘটে। কোডের প্রাসঙ্গিক অংশের কন্ডিশন, অপারেটর এবং ভেরিয়েবলের মানগুলো অবশ্যই সতর্কতার সাথে পর্যালোচনা করতে হবে।","यह एक तार्किक त्रुटि है, जिसका अर्थ है कि प्रोग्राम बिना कोई अपवाद उत्पन्न किए चलता है लेकिन गलत परिणाम देता है। तार्किक त्रुटियाँ तब होती हैं जब प्रोग्राम के निर्देश इच्छित गणना को सही ढंग से नहीं दर्शाते हैं। कोड के संबंधित भाग में शर्तों, ऑपरेटरों और चर मानों की सावधानीपूर्वक समीक्षा की जानी चाहिए।",هذا خطأ منطقي، ما يعني أن البرنامج يعمل دون إثارة استثناء ولكنه يُنتج نتيجة غير صحيحة. تحدث الأخطاء المنطقية عندما لا تُمثل تعليمات البرنامج العملية الحسابية المقصودة بشكل صحيح. يجب مراجعة الشروط والمعاملات وقيم المتغيرات في الجزء ذي الصلة من الكود بعناية.,"இது ஒரு தருக்கப் பிழை ஆகும். அதாவது, நிரல் எந்தவொரு விதிவிலக்கையும் எழுப்பாமல் இயங்கினாலும், தவறான முடிவைத் தரும். நிரலின் கட்டளைகள், நோக்கம் கொண்ட கணக்கீட்டைச் சரியாக வெளிப்படுத்தாதபோது தருக்கப் பிழைகள் ஏற்படுகின்றன. நிரலின் தொடர்புடைய பகுதியில் உள்ள நிபந்தனைகள், செயற்குறிகள் மற்றும் மாறி மதிப்புகள் கவனமாக மதிப்பாய்வு செய்யப்பட வேண்டும்.","Àṣìṣe tó bófin mu ni èyí, èyí tó túmọ̀ sí wípé ètò náà ń ṣiṣẹ́ láìsí pé ó gbé àfikún kan jáde ṣùgbọ́n ó ń mú àbájáde tí kò tọ́ jáde. Àṣìṣe tó bófin mu máa ń ṣẹlẹ̀ nígbà tí ìlànà ètò náà kò bá ṣe àfihàn iṣirò tó yẹ. A gbọ́dọ̀ ṣe àtúnyẹ̀wò àwọn ipò, àwọn olùṣiṣẹ́, àti àwọn iye tó yàtọ̀ nínú apá tó yẹ nínú kódì náà dáadáa.",,
T2-16,"This logical error occurs because the condition in the if statement does not correctly represent the intended comparison. Python evaluates the condition as written, not as intended. Each comparison operator and variable value in the condition must be examined to confirm the logic is correct.","এই যৌক্তিক ত্রুটিটি ঘটে কারণ if স্টেটমেন্টের শর্তটি উদ্দিষ্ট তুলনাকে সঠিকভাবে উপস্থাপন করে না। পাইথন শর্তটিকে তার অভিপ্রেত রূপের পরিবর্তে, যেভাবে লেখা আছে সেভাবেই মূল্যায়ন করে। যুক্তিটি সঠিক কিনা তা নিশ্চিত করার জন্য শর্তের প্রতিটি তুলনা অপারেটর এবং ভেরিয়েবলের মান পরীক্ষা করে দেখতে হবে।","यह तार्किक त्रुटि इसलिए होती है क्योंकि if स्टेटमेंट में दी गई शर्त इच्छित तुलना को सही ढंग से नहीं दर्शाती है। पायथन शर्त का मूल्यांकन उसके लिखे अनुसार करता है, न कि इच्छित तरीके से। शर्त में प्रत्येक तुलना ऑपरेटर और चर मान की जाँच करके यह सुनिश्चित करना आवश्यक है कि तर्क सही है।",يحدث هذا الخطأ المنطقي لأن الشرط في عبارة if لا يُمثل المقارنة المقصودة بشكل صحيح. يُقيّم بايثون الشرط كما هو مكتوب، وليس كما هو مُراد. يجب فحص كل عامل مقارنة وقيمة متغير في الشرط للتأكد من صحة المنطق.,"if கூற்றில் உள்ள நிபந்தனை, நோக்கம் கொண்ட ஒப்பீட்டைச் சரியாக வெளிப்படுத்தாததால் இந்தத் தர்க்கப் பிழை ஏற்படுகிறது. பைத்தான், நிபந்தனையை நோக்கம் கொண்டபடி அல்லாமல், அது எழுதப்பட்டபடியே மதிப்பிடுகிறது. தர்க்கம் சரியானது என்பதை உறுதிப்படுத்த, நிபந்தனையில் உள்ள ஒவ்வொரு ஒப்பீட்டுச் செயற்குறியையும் மற்றும் மாறி மதிப்பையும் ஆராய வேண்டும்.","Àṣìṣe onímọ̀ọ́ràn yìí máa ń ṣẹlẹ̀ nítorí pé ipò tó wà nínú gbólóhùn if kò dúró fún àfiwé tó yẹ. Python ń ṣe àyẹ̀wò ipò náà gẹ́gẹ́ bí a ṣe kọ ọ́, kì í ṣe gẹ́gẹ́ bí a ṣe fẹ́. A gbọ́dọ̀ ṣe àyẹ̀wò olùṣiṣẹ́ ìfiwéra kọ̀ọ̀kan àti iye oníyípadà nínú ipò náà láti jẹ́rìí sí i pé ìlànà náà tọ̀nà.",,
T2-17,"A logical error in a loop can cause the loop to iterate more or fewer times than expected. This often results from an incorrect boundary condition in the loop's controlling expression. The starting value, ending condition, and increment value of the loop must each be reviewed.","একটি লুপের যৌক্তিক ত্রুটির কারণে লুপটি প্রত্যাশার চেয়ে বেশি বা কম বার চলতে পারে। এটি প্রায়শই লুপের নিয়ন্ত্রক এক্সপ্রেশনে একটি ভুল বাউন্ডারি কন্ডিশনের ফলে ঘটে থাকে। লুপের প্রারম্ভিক মান, সমাপ্তি শর্ত এবং ইনক্রিমেন্ট মান—এই প্রতিটি অবশ্যই পর্যালোচনা করতে হবে।","लूप में तार्किक त्रुटि के कारण लूप अपेक्षा से अधिक या कम बार चल सकता है। यह अक्सर लूप के नियंत्रक व्यंजक में गलत सीमा शर्त के कारण होता है। लूप के आरंभिक मान, समाप्ति शर्त और वृद्धि मान की समीक्षा करना आवश्यक है।",قد يتسبب خطأ منطقي في حلقة تكرارية في تكرارها مرات أكثر أو أقل من المتوقع. وينتج هذا غالبًا عن شرط حدودي غير صحيح في التعبير المتحكم بالحلقة. لذا، يجب مراجعة قيمة البداية وشرط النهاية وقيمة الزيادة لكل حلقة على حدة.,"ஒரு லூப்பில் ஏற்படும் தர்க்கப் பிழையானது, அந்த லூப் எதிர்பார்த்ததை விட அதிகமாகவோ அல்லது குறைவாகவோ இயங்கக் காரணமாகலாம். இது பெரும்பாலும், லூப்பின் கட்டுப்பாட்டு வெளிப்பாட்டில் உள்ள தவறான எல்லை நிபந்தனையால் ஏற்படுகிறது. லூப்பின் தொடக்க மதிப்பு, முடிவு நிபந்தனை மற்றும் அதிகரிப்பு மதிப்பு ஆகியவை ஒவ்வொன்றாக மதிப்பாய்வு செய்யப்பட வேண்டும்.","Àṣìṣe tó bá wà nínú ìlù kan lè mú kí ìlù náà máa yípadà ní ìgbà díẹ̀ sí i tàbí kí ó dín sí i ju bí a ṣe rò lọ. Èyí sábà máa ń jẹ́ nítorí ipò ààlà tí kò tọ́ nínú ìṣàkóṣo ìlù náà. A gbọ́dọ̀ ṣe àtúnyẹ̀wò iye ìbẹ̀rẹ̀, ipò ìparí, àti iye ìdàgbàsókè ìlù náà.",,
T2-18,This logical error occurs because the wrong variable is used in a calculation. The result appears plausible but does not reflect the correct computation. Each variable in the expression must be checked to confirm it holds the intended value at that point in the program.,"গণনার সময় ভুল ভেরিয়েবল ব্যবহার করার কারণে এই যৌক্তিক ত্রুটিটি ঘটে। ফলাফলটি বিশ্বাসযোগ্য মনে হলেও, এটি সঠিক গণনাকে প্রতিফলিত করে না। প্রোগ্রামের ঐ নির্দিষ্ট পর্যায়ে এক্সপ্রেশনের প্রতিটি ভেরিয়েবল উদ্দিষ্ট মান ধারণ করছে কিনা, তা নিশ্চিত করার জন্য পরীক্ষা করতে হবে।","यह तार्किक त्रुटि गणना में गलत चर के उपयोग के कारण होती है। परिणाम देखने में तो सही लगता है, लेकिन सही गणना को प्रतिबिंबित नहीं करता। प्रोग्राम में उस बिंदु पर प्रत्येक चर का अपेक्षित मान होना सुनिश्चित करने के लिए उसकी जाँच की जानी चाहिए।",يحدث هذا الخطأ المنطقي نتيجة استخدام متغير خاطئ في عملية حسابية. تبدو النتيجة معقولة، لكنها لا تعكس الحساب الصحيح. يجب فحص كل متغير في التعبير للتأكد من أنه يحمل القيمة المقصودة في تلك المرحلة من البرنامج.,"கணக்கீட்டில் தவறான மாறி பயன்படுத்தப்படுவதால் இந்தத் தருக்கப் பிழை ஏற்படுகிறது. இதன் முடிவு நம்பத்தகுந்ததாகத் தோன்றினாலும், அது சரியான கணக்கீட்டைப் பிரதிபலிக்காது. நிரலில் உள்ள ஒவ்வொரு மாறியும், அந்த நேரத்தில் அது உத்தேசிக்கப்பட்ட மதிப்பைக் கொண்டிருப்பதை உறுதிசெய்யச் சரிபார்க்கப்பட வேண்டும்.",Àṣìṣe tó wà nínú ìlànà yìí máa ń ṣẹlẹ̀ nítorí pé a lo ohun tí kò tọ́ nínú ìṣirò. Àbájáde náà dà bí ohun tó ṣeé gbàgbọ́ ṣùgbọ́n kò fi ìṣirò tó tọ́ hàn. A gbọ́dọ̀ ṣàyẹ̀wò ohun tí ó wà nínú gbólóhùn náà láti jẹ́rìí sí i pé ó ní iye tí a fẹ́ lò ní àkókò yẹn nínú ètò náà.,,
T2-19,"A SyntaxError can also occur when parentheses, brackets, or quotation marks are not properly closed. Python cannot parse the remaining code when an opening delimiter has no matching closing delimiter. All opening symbols in the statement must be matched with their corresponding closing symbols.","প্রথম বন্ধনী, দ্বিতীয় বন্ধনী বা উদ্ধৃতি চিহ্ন সঠিকভাবে বন্ধ না করা হলেও একটি SyntaxError ঘটতে পারে। যখন কোনো শুরুর ডিলিমিটারের সাথে মেলে এমন কোনো শেষের ডিলিমিটার থাকে না, তখন পাইথন বাকি কোডটি পার্স করতে পারে না। স্টেটমেন্টের সমস্ত শুরুর চিহ্নকে অবশ্যই তাদের সংশ্লিষ্ট শেষের চিহ্নের সাথে মেলাতে হবে।","कोष्ठक, ब्रैकेट या उद्धरण चिह्नों के ठीक से बंद न होने पर भी सिंटैक्स एरर आ सकता है। यदि किसी ओपनिंग डीलिमिटर का कोई मेल खाने वाला क्लोजिंग डीलिमिटर न हो, तो पायथन शेष कोड को पार्स नहीं कर सकता। स्टेटमेंट में सभी ओपनिंग सिंबल उनके संबंधित क्लोजिंग सिंबल से मेल खाने चाहिए।",قد يحدث خطأ في بناء الجملة أيضًا عندما لا تُغلق الأقواس أو المعقوفات أو علامات الاقتباس بشكل صحيح. لا يستطيع بايثون تحليل الكود المتبقي عندما لا يوجد مُحدد إغلاق مطابق لمحدد الفتح. يجب مطابقة جميع رموز الفتح في العبارة مع رموز الإغلاق المقابلة لها.,"அடைப்புக்குறிகள், சதுர அடைப்புக்குறிகள் அல்லது மேற்கோள் குறிகள் சரியாக மூடப்படாதபோதும் தொடரியல் பிழை (SyntaxError) ஏற்படலாம். ஒரு தொடக்கப் பிரிப்பானுக்குப் பொருத்தமான முடிவுப் பிரிப்பான் இல்லாதபோது, ​​மீதமுள்ள குறியீட்டை பைத்தானால் பாகுபடுத்த (parse) முடியாது. கூற்றில் உள்ள அனைத்துத் தொடக்கக் குறியீடுகளும் அவற்றுக்குரிய முடிவுக் குறியீடுகளுடன் பொருந்த வேண்டும்.","Àṣìṣe Syntax kan tún lè ṣẹlẹ̀ nígbà tí a kò bá ti àwọn àmì ìdámọ̀, àmì ìdámọ̀, tàbí àmì ìfọ̀rọ̀wérọ̀ dáadáa. Python kò lè ṣàtúnṣe kódì tó kù nígbà tí àmì ìdámọ̀ ṣíṣí kò bá ní àmì ìdámọ̀ pípa tó báramu. Gbogbo àmì ìṣíṣí nínú gbólóhùn náà gbọ́dọ̀ bá àwọn àmì ìdámọ̀ pípa wọn mu.",,
T2-20,"An IndentationError can occur when spaces and tab characters are mixed within the same file to represent indentation. Python treats a tab and a space as different characters and cannot resolve the indentation level when both are present. The entire file should use one consistent indentation character, with spaces being the recommended choice.","একই ফাইলে ইন্ডেন্টেশন বোঝানোর জন্য স্পেস এবং ট্যাব ক্যারেক্টার একসাথে ব্যবহার করলে একটি IndentationError দেখা দিতে পারে। পাইথন ট্যাব এবং স্পেসকে দুটি ভিন্ন ক্যারেক্টার হিসেবে গণ্য করে এবং উভয়ই উপস্থিত থাকলে ইন্ডেন্টেশন লেভেল নির্ধারণ করতে পারে না। পুরো ফাইলটিতে একটিই সামঞ্জস্যপূর্ণ ইন্ডেন্টেশন ক্যারেক্টার ব্যবহার করা উচিত, যার জন্য স্পেস একটি প্রস্তাবিত পছন্দ।","एक ही फ़ाइल में इंडेंटेशन दर्शाने के लिए स्पेस और टैब वर्णों का मिश्रित उपयोग करने पर इंडेंटेशन त्रुटि उत्पन्न हो सकती है। पायथन टैब और स्पेस को अलग-अलग वर्ण मानता है और दोनों के मौजूद होने पर इंडेंटेशन स्तर निर्धारित नहीं कर पाता है। पूरी फ़ाइल में एक ही प्रकार का इंडेंटेशन वर्ण उपयोग किया जाना चाहिए, जिसमें स्पेस का उपयोग करना सबसे उपयुक्त है।",قد يحدث خطأ في المسافة البادئة عند استخدام المسافات وعلامات الجدولة معًا في الملف نفسه لتمثيل المسافة البادئة. يتعامل بايثون مع علامة الجدولة والمسافة كحرفين مختلفين، ولا يمكنه تحديد مستوى المسافة البادئة عند وجودهما معًا. يُنصح باستخدام حرف مسافة بادئة واحد متسق في الملف بأكمله، مع تفضيل استخدام المسافات.,"ஒரே கோப்பில் உள்ளிழுப்பைக் குறிக்க இடைவெளிகளும் தத்தல் எழுத்துக்களும் (tab characters) கலக்கப்படும்போது, ​​ஒரு உள்ளிழுப்புப் பிழை (IndentationError) ஏற்படலாம். பைத்தான், தத்தல் எழுத்தையும் இடைவெளியையும் வெவ்வேறு எழுத்துக்களாகக் கருதுவதால், இரண்டும் இருக்கும்போது உள்ளிழுப்பு அளவைத் தீர்மானிக்க இயலாது. கோப்பு முழுவதும் ஒரே சீரான உள்ளிழுப்பு எழுத்தைப் பயன்படுத்த வேண்டும், இதில் இடைவெளிகளே பரிந்துரைக்கப்படும் தேர்வாகும்.","Àṣìṣe Indentation lè ṣẹlẹ̀ nígbà tí a bá da àwọn àlàfo àti àwọn àmì ìkọ̀wé pọ̀ nínú fáìlì kan náà láti dúró fún indentation. Python ń wo tab àti àlàfo gẹ́gẹ́ bí àwọn àmì ìkọ̀wé tó yàtọ̀ síra, kò sì lè yanjú ìpele indentation nígbà tí àwọn méjèèjì bá wà. Gbogbo fáìlì náà gbọ́dọ̀ lo àmì indentation kan tó báramu, pẹ̀lú àwọn àlàfo tí a dámọ̀ràn.",,
T2-21,A NameError inside a function often occurs because a variable defined in the outer scope is not accessible as a local variable without being passed as an argument or declared as global. Python looks for the name in the local scope first. The variable must either be passed as a parameter or declared using the global keyword if it must be accessed from inside the function.,"ফাংশনের ভিতরে প্রায়শই একটি NameError ঘটে, কারণ বাইরের স্কোপে সংজ্ঞায়িত একটি ভেরিয়েবলকে আর্গুমেন্ট হিসাবে পাস না করে বা গ্লোবাল হিসাবে ঘোষণা না করে লোকাল ভেরিয়েবল হিসেবে অ্যাক্সেস করা যায় না। পাইথন প্রথমে লোকাল স্কোপে নামটি খোঁজে। যদি ফাংশনের ভেতর থেকে ভেরিয়েবলটি অ্যাক্সেস করতে হয়, তবে সেটিকে অবশ্যই প্যারামিটার হিসাবে পাস করতে হবে অথবা গ্লোবাল কীওয়ার্ড ব্যবহার করে ঘোষণা করতে হবে।","किसी फ़ंक्शन के अंदर NameError अक्सर इसलिए होता है क्योंकि बाहरी स्कोप में परिभाषित वेरिएबल को आर्गुमेंट के रूप में पास किए बिना या ग्लोबल घोषित किए बिना लोकल वेरिएबल के रूप में एक्सेस नहीं किया जा सकता है। पायथन पहले लोकल स्कोप में नाम खोजता है। यदि फ़ंक्शन के अंदर से वेरिएबल को एक्सेस करना है, तो उसे या तो पैरामीटर के रूप में पास किया जाना चाहिए या ग्लोबल कीवर्ड का उपयोग करके घोषित किया जाना चाहिए।",يحدث خطأ NameError داخل الدالة غالبًا لأن المتغير المُعرَّف في النطاق الخارجي لا يمكن الوصول إليه كمتغير محلي إلا بتمريره كوسيط أو تعريفه كمتغير عام. يبحث بايثون عن الاسم في النطاق المحلي أولًا. يجب تمرير المتغير كمعامل أو تعريفه باستخدام الكلمة المفتاحية global إذا كان الوصول إليه مطلوبًا من داخل الدالة.,"ஒரு செயற்கூறின் உள்ளே ஏற்படும் NameError பெரும்பாலும், வெளி எல்லைக்கோட்டில் வரையறுக்கப்பட்ட ஒரு மாறியை, ஓர் வாதமாக அனுப்பாமலோ அல்லது global என அறிவிக்காமலோ ஒரு உள்ளூர் மாறியாக அணுக முடியாததால் ஏற்படுகிறது. பைதான் முதலில் உள்ளூர் எல்லைக்கோட்டில் அந்தப் பெயரைத் தேடுகிறது. அந்த மாறியை செயற்கூறின் உள்ளிருந்து அணுக வேண்டுமென்றால், அதை ஓர் அளவுருவாக அனுப்ப வேண்டும் அல்லது global என்ற திறவுச்சொல்லைப் பயன்படுத்தி அறிவிக்க வேண்டும்.",Àṣìṣe NameError nínú iṣẹ́ kan sábà máa ń wáyé nítorí pé a kò lè rí ayípadà kan tí a ṣàlàyé nínú scope òde gẹ́gẹ́ bí oniyipada agbegbe láìsí pé a gbé e kalẹ̀ gẹ́gẹ́ bí ariyanjiyan tàbí a kéde rẹ̀ gẹ́gẹ́ bí agbaye. Python kọ́kọ́ wá orúkọ náà nínú scope agbegbe. A gbọ́dọ̀ gbé oniyipada náà kalẹ̀ gẹ́gẹ́ bí paramita tàbí kí a kéde rẹ̀ nípa lílo ọ̀rọ̀ pàtàkì àgbáyé tí a bá gbọ́dọ̀ wọlé láti inú function náà.,,
T2-22,"A KeyError can be avoided by checking whether a key exists in a dictionary before accessing it. Python provides the in operator for this purpose. Alternatively, the get() method on the dictionary can be used to return a default value when the key is not found.","ডিকশনারিতে কোনো কী অ্যাক্সেস করার আগে সেটি আছে কিনা তা পরীক্ষা করে নিলে KeyError এড়ানো যায়। পাইথন এই কাজের জন্য `in` অপারেটর প্রদান করে। বিকল্পভাবে, কী-টি খুঁজে না পেলে একটি ডিফল্ট মান রিটার্ন করার জন্য ডিকশনারির `get()` মেথড ব্যবহার করা যেতে পারে।","किसी डिक्शनरी में कुंजी मौजूद है या नहीं, यह जांचने से KeyError से बचा जा सकता है। इसके लिए Python में 'in' ऑपरेटर उपलब्ध है। वैकल्पिक रूप से, कुंजी न मिलने पर डिफ़ॉल्ट मान लौटाने के लिए डिक्शनरी पर get() विधि का उपयोग किया जा सकता है।",يمكن تجنب خطأ KeyError بالتحقق من وجود المفتاح في القاموس قبل الوصول إليه. توفر لغة بايثون عامل التشغيل in لهذا الغرض. بدلاً من ذلك، يمكن استخدام دالة get() في القاموس لإرجاع قيمة افتراضية في حال عدم العثور على المفتاح.,"ஒரு அகராதியை அணுகுவதற்கு முன், அதில் ஒரு திறவுகோல் உள்ளதா எனச் சரிபார்ப்பதன் மூலம் KeyError-ஐத் தவிர்க்கலாம். இந்த நோக்கத்திற்காக பைதான் 'in' செயற்குறியை வழங்குகிறது. மாற்றாக, திறவுகோல் காணப்படாதபோது ஒரு இயல்புநிலை மதிப்பைத் திருப்பியளிக்க, அகராதியில் உள்ள get() முறையைப் பயன்படுத்தலாம்.","A le yẹra fun KeyError nipa ṣiṣayẹwo boya bọtini kan wa ninu iwe-itumọ ṣaaju ki o to wọle si i. Python pese oniṣẹ in fun idi eyi. Tabi, ọna get() lori iwe-itumọ le ṣee lo lati da iye aiyipada pada nigbati bọtini ko ba si.",,
T2-23,A TypeError involving a function call occurs when the function is called with the wrong number of arguments. Python requires that the number of arguments provided matches the number of parameters defined in the function signature. The function definition and the function call must be compared to ensure the argument count is consistent.,"ফাংশন কল সংক্রান্ত একটি TypeError ঘটে যখন কোনো ফাংশনকে ভুল সংখ্যক আর্গুমেন্ট দিয়ে কল করা হয়। পাইথনের নিয়ম অনুযায়ী, প্রদত্ত আর্গুমেন্টের সংখ্যা অবশ্যই ফাংশন সিগনেচারে সংজ্ঞায়িত প্যারামিটারের সংখ্যার সাথে মিলতে হবে। আর্গুমেন্টের সংখ্যা সামঞ্জস্যপূর্ণ কিনা তা নিশ্চিত করার জন্য ফাংশনের সংজ্ঞা এবং ফাংশন কল অবশ্যই তুলনা করে দেখতে হবে।",किसी फ़ंक्शन को गलत संख्या में आर्गुमेंट्स के साथ कॉल करने पर TypeError उत्पन्न होता है। Python में यह आवश्यक है कि दिए गए आर्गुमेंट्स की संख्या फ़ंक्शन सिग्नेचर में परिभाषित पैरामीटर्स की संख्या से मेल खाए। आर्गुमेंट्स की संख्या में एकरूपता सुनिश्चित करने के लिए फ़ंक्शन परिभाषा और फ़ंक्शन कॉल की तुलना करना आवश्यक है।,يحدث خطأ من نوع TypeError عند استدعاء دالة بعدد غير صحيح من الوسائط. يشترط بايثون أن يتطابق عدد الوسائط المُمرَّرة مع عدد المعاملات المُحدَّدة في تعريف الدالة. يجب مقارنة تعريف الدالة واستدعائها للتأكد من اتساق عدد الوسائط.,"ஒரு சார்பு தவறான எண்ணிக்கையிலான உள்ளீடுகளுடன் அழைக்கப்படும்போது, ​​அந்தச் சார்பு அழைப்பில் ஒரு வகைப்பிழை (TypeError) ஏற்படுகிறது. வழங்கப்படும் உள்ளீடுகளின் எண்ணிக்கை, சார்பு கையொப்பத்தில் வரையறுக்கப்பட்ட அளவுருக்களின் எண்ணிக்கையுடன் பொருந்த வேண்டும் என பைதான் எதிர்பார்க்கிறது. உள்ளீடுகளின் எண்ணிக்கை சீராக உள்ளதா என்பதை உறுதிப்படுத்த, சார்பு வரையறையையும் சார்பு அழைப்பையும் ஒப்பிட வேண்டும்.",Àṣìṣe Iru kan tí ó ní í ṣe pẹ̀lú ìpè iṣẹ́ kan máa ń ṣẹlẹ̀ nígbà tí a bá pe iṣẹ́ náà pẹ̀lú iye àríyànjiyàn tí kò tọ́. Python nílò pé iye àríyànjiyàn tí a pèsè bá iye àwọn pàrámítà tí a ṣàlàyé nínú ìfọwọ́sowọ́pọ̀ iṣẹ́ náà mu. A gbọ́dọ̀ fi ìtumọ̀ iṣẹ́ náà àti ìpè iṣẹ́ náà wéra láti rí i dájú pé iye àríyànjiyàn náà báramu.,,
T2-24,"A ValueError can occur when the program receives input from a user and attempts to convert it to a numeric type without validation. If the user enters a value that cannot be converted, the conversion raises an error. A try-except block should be used to handle this case and prompt the user to enter a valid value.","যখন প্রোগ্রাম ব্যবহারকারীর কাছ থেকে ইনপুট গ্রহণ করে এবং যাচাইকরণ ছাড়াই সেটিকে সংখ্যাসূচক ধরনে রূপান্তর করার চেষ্টা করে, তখন একটি ValueError ঘটতে পারে। যদি ব্যবহারকারী এমন কোনো মান প্রবেশ করান যা রূপান্তর করা সম্ভব নয়, তবে রূপান্তর প্রক্রিয়াটি একটি ত্রুটি দেখায়। এই পরিস্থিতি সামাল দিতে এবং ব্যবহারকারীকে একটি বৈধ মান প্রবেশ করানোর জন্য অনুরোধ করতে একটি try-except ব্লক ব্যবহার করা উচিত।","जब प्रोग्राम उपयोगकर्ता से इनपुट प्राप्त करता है और बिना सत्यापन के उसे संख्यात्मक प्रकार में परिवर्तित करने का प्रयास करता है, तो ValueError उत्पन्न हो सकता है। यदि उपयोगकर्ता ऐसा मान दर्ज करता है जिसे परिवर्तित नहीं किया जा सकता है, तो रूपांतरण में त्रुटि उत्पन्न होती है। इस स्थिति से निपटने और उपयोगकर्ता से मान्य मान दर्ज करने का अनुरोध करने के लिए try-except ब्लॉक का उपयोग किया जाना चाहिए।",قد يحدث خطأ ValueError عندما يستقبل البرنامج مدخلات من المستخدم ويحاول تحويلها إلى نوع رقمي دون التحقق من صحتها. إذا أدخل المستخدم قيمة لا يمكن تحويلها، فسيظهر خطأ أثناء عملية التحويل. يجب استخدام كتلة try-except لمعالجة هذه الحالة ومطالبة المستخدم بإدخال قيمة صحيحة.,"ஒரு நிரலானது பயனரிடமிருந்து உள்ளீட்டைப் பெற்று, அதைச் சரிபார்ப்பு இல்லாமல் எண் வகையாக மாற்ற முயற்சிக்கும்போது ValueError ஏற்படலாம். பயனர் மாற்ற முடியாத ஒரு மதிப்பை உள்ளிட்டால், அந்த மாற்றம் ஒரு பிழையை ஏற்படுத்தும். இந்தச் சூழலைக் கையாள்வதற்கும், சரியான மதிப்பை உள்ளிடுமாறு பயனரிடம் கேட்பதற்கும் ஒரு try-except தொகுதி பயன்படுத்தப்பட வேண்டும்.","Èròjà ValueError lè ṣẹlẹ̀ nígbà tí ètò náà bá gba ìfọwọ́sí láti ọ̀dọ̀ olùlò kan tí ó sì gbìyànjú láti yí i padà sí irú nọ́mbà láìsí ìfọwọ́sí. Tí olùlò bá tẹ iye tí a kò le yípadà, ìyípadà náà yóò fa àṣìṣe kan. Ó yẹ kí a lo block try-except láti bójútó ọ̀ràn yìí kí ó sì mú kí olùlò tẹ iye tí ó tọ́ sí i.",,
